Population Size,Generations,Mutation Rate,Elitism Rate,Crossover Type,Final Distance,Solution Time,Gap to Optimal (%),Best Route,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.05,0.1,erx,816.5161829044303,458.8306529521942,3.082271882480296,"[34, 39, 1, 79, 21, 74, 29, 94, 5, 8, 83, 52, 58, 78, 17, 70, 76, 89, 92, 95, 42, 72, 56, 40, 59, 4, 98, 0, 20, 9, 82, 3, 91, 69, 87, 93, 55, 36, 12, 46, 24, 37, 7, 51, 60, 61, 18, 14, 19, 85, 38, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 15, 10, 2, 90, 27, 31, 73, 86, 41, 16, 54, 97, 71, 81, 96, 26, 35, 63, 50, 68, 28, 45, 80, 67, 53, 88, 47, 62, 23, 77, 22, 6, 13, 44, 84, 33, 65, 11, 25]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.05,0.1,erx,816.5161829044304,231.42596530914307,3.0822718824803106,"[84, 33, 65, 11, 25, 34, 39, 1, 79, 21, 74, 29, 94, 5, 8, 83, 52, 58, 78, 17, 70, 76, 89, 92, 95, 42, 72, 56, 40, 59, 4, 98, 0, 20, 9, 82, 3, 91, 69, 87, 93, 55, 36, 12, 46, 24, 37, 7, 51, 60, 61, 18, 14, 19, 85, 38, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 15, 10, 2, 90, 27, 31, 73, 86, 41, 16, 54, 97, 71, 81, 96, 26, 35, 63, 50, 68, 28, 45, 80, 67, 53, 88, 47, 62, 23, 77, 22, 6, 13, 44]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.1,0.1,edge,851.2139736003767,219.14521479606628,7.462744883662179,"[92, 89, 17, 76, 70, 7, 51, 60, 61, 18, 14, 19, 85, 38, 46, 37, 24, 40, 56, 11, 33, 65, 4, 98, 59, 0, 20, 69, 9, 82, 3, 91, 87, 93, 55, 36, 12, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 15, 10, 2, 90, 27, 31, 73, 86, 41, 16, 54, 97, 71, 81, 96, 26, 35, 63, 50, 68, 28, 83, 52, 58, 78, 8, 45, 80, 5, 94, 29, 53, 67, 88, 47, 62, 23, 77, 22, 6, 13, 44, 84, 79, 1, 39, 21, 74, 34, 25, 42, 72, 95]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.1,0.1,edge,851.2139736003767,431.7998733520508,7.462744883662179,"[92, 89, 17, 76, 70, 7, 51, 60, 61, 18, 14, 19, 85, 38, 46, 37, 24, 40, 56, 11, 33, 65, 4, 98, 59, 0, 20, 69, 9, 82, 3, 91, 87, 93, 55, 36, 12, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 15, 10, 2, 90, 27, 31, 73, 86, 41, 16, 54, 97, 71, 81, 96, 26, 35, 63, 50, 68, 28, 83, 52, 58, 78, 8, 45, 80, 5, 94, 29, 53, 67, 88, 47, 62, 23, 77, 22, 6, 13, 44, 84, 79, 1, 39, 21, 74, 34, 25, 42, 72, 95]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.1,0.1,erx,856.2808552992573,459.3198447227478,8.102420725753243,"[1, 65, 4, 11, 25, 42, 72, 56, 95, 92, 34, 39, 21, 74, 77, 22, 23, 29, 94, 5, 8, 28, 83, 52, 58, 78, 17, 89, 76, 70, 27, 7, 51, 60, 46, 37, 24, 40, 59, 98, 0, 20, 69, 9, 82, 3, 91, 87, 93, 55, 36, 12, 38, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 15, 10, 18, 14, 85, 19, 61, 2, 90, 31, 73, 86, 97, 41, 16, 54, 26, 71, 81, 96, 35, 63, 68, 50, 80, 45, 67, 53, 88, 47, 62, 6, 13, 44, 33, 84, 79]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.1,0.1,erx,856.2808552992573,233.2370789051056,8.102420725753243,"[1, 65, 4, 11, 25, 42, 72, 56, 95, 92, 34, 39, 21, 74, 77, 22, 23, 29, 94, 5, 8, 28, 83, 52, 58, 78, 17, 89, 76, 70, 27, 7, 51, 60, 46, 37, 24, 40, 59, 98, 0, 20, 69, 9, 82, 3, 91, 87, 93, 55, 36, 12, 38, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 15, 10, 18, 14, 85, 19, 61, 2, 90, 31, 73, 86, 97, 41, 16, 54, 26, 71, 81, 96, 35, 63, 68, 50, 80, 45, 67, 53, 88, 47, 62, 6, 13, 44, 33, 84, 79]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.05,0.05,erx,884.0832350507183,242.9526777267456,11.612372553438588,"[67, 53, 29, 74, 21, 79, 1, 39, 34, 25, 42, 72, 56, 40, 24, 37, 95, 92, 89, 76, 70, 17, 78, 58, 52, 83, 28, 45, 8, 5, 94, 88, 47, 62, 23, 77, 22, 6, 13, 44, 84, 33, 65, 11, 4, 98, 59, 0, 20, 9, 82, 3, 91, 69, 87, 93, 55, 36, 12, 46, 38, 85, 19, 60, 27, 7, 51, 61, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 14, 18, 10, 15, 2, 90, 31, 73, 86, 97, 41, 16, 54, 26, 71, 81, 96, 35, 63, 68, 50, 80]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.05,0.05,erx,884.0832350507183,483.49832582473755,11.612372553438588,"[67, 53, 29, 74, 21, 79, 1, 39, 34, 25, 42, 72, 56, 40, 24, 37, 95, 92, 89, 76, 70, 17, 78, 58, 52, 83, 28, 45, 8, 5, 94, 88, 47, 62, 23, 77, 22, 6, 13, 44, 84, 33, 65, 11, 4, 98, 59, 0, 20, 9, 82, 3, 91, 69, 87, 93, 55, 36, 12, 46, 38, 85, 19, 60, 27, 7, 51, 61, 43, 48, 30, 75, 99, 49, 57, 66, 64, 32, 14, 18, 10, 15, 2, 90, 31, 73, 86, 97, 41, 16, 54, 26, 71, 81, 96, 35, 63, 68, 50, 80]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.05,0.1,edge,884.8421646,217.48879313468933,11.70818471976831,"[83, 52, 58, 78, 17, 70, 76, 89, 74, 21, 39, 34, 92, 95, 25, 42, 72, 40, 24, 37, 51, 7, 27, 31, 73, 86, 97, 71, 54, 16, 41, 2, 90, 60, 61, 46, 19, 14, 18, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 85, 48, 43, 38, 12, 36, 55, 93, 87, 69, 91, 3, 82, 9, 20, 0, 98, 59, 56, 4, 65, 33, 84, 11, 1, 79, 77, 13, 44, 6, 22, 23, 62, 47, 88, 67, 53, 29, 94, 5, 8, 28, 81, 96, 26, 35, 63, 68, 50, 80, 45]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.05,0.1,edge,884.8421646,431.1292665,11.70818471976831,"[83, 52, 58, 78, 17, 70, 76, 89, 74, 21, 39, 34, 92, 95, 25, 42, 72, 40, 24, 37, 51, 7, 27, 31, 73, 86, 97, 71, 54, 16, 41, 2, 90, 60, 61, 46, 19, 14, 18, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 85, 48, 43, 38, 12, 36, 55, 93, 87, 69, 91, 3, 82, 9, 20, 0, 98, 59, 56, 4, 65, 33, 84, 11, 1, 79, 77, 13, 44, 6, 22, 23, 62, 47, 88, 67, 53, 29, 94, 5, 8, 28, 81, 96, 26, 35, 63, 68, 50, 80, 45]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.1,0.05,erx,889.0407090747481,484.1240463256836,12.23823606465229,"[26, 96, 81, 71, 54, 16, 41, 97, 86, 73, 31, 27, 90, 2, 18, 60, 61, 46, 59, 40, 24, 37, 7, 51, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 14, 19, 85, 48, 43, 38, 12, 91, 3, 82, 9, 93, 55, 36, 87, 69, 20, 0, 98, 56, 72, 95, 42, 25, 11, 4, 65, 33, 44, 13, 6, 22, 77, 23, 62, 47, 88, 53, 67, 94, 29, 74, 21, 79, 84, 1, 39, 34, 92, 89, 76, 70, 17, 78, 58, 52, 83, 8, 5, 45, 80, 28, 68, 50, 63, 35]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.1,0.05,erx,889.0407090747481,244.26742696762085,12.23823606465229,"[26, 96, 81, 71, 54, 16, 41, 97, 86, 73, 31, 27, 90, 2, 18, 60, 61, 46, 59, 40, 24, 37, 7, 51, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 14, 19, 85, 48, 43, 38, 12, 91, 3, 82, 9, 93, 55, 36, 87, 69, 20, 0, 98, 56, 72, 95, 42, 25, 11, 4, 65, 33, 44, 13, 6, 22, 77, 23, 62, 47, 88, 53, 67, 94, 29, 74, 21, 79, 84, 1, 39, 34, 92, 89, 76, 70, 17, 78, 58, 52, 83, 8, 5, 45, 80, 28, 68, 50, 63, 35]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,1000,0.1,0.05,edge,893.7706510228273,231.0241916179657,12.835374458340837,"[96, 81, 71, 97, 54, 16, 41, 86, 73, 31, 70, 76, 89, 7, 27, 90, 2, 51, 60, 61, 19, 14, 18, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 85, 48, 43, 38, 12, 55, 93, 36, 46, 37, 24, 40, 72, 56, 59, 20, 69, 87, 91, 3, 82, 9, 0, 98, 4, 44, 13, 6, 22, 62, 47, 29, 23, 77, 84, 33, 65, 11, 25, 42, 95, 92, 34, 39, 1, 79, 21, 74, 94, 53, 88, 67, 80, 45, 8, 5, 17, 78, 58, 52, 83, 28, 68, 50, 63, 35, 26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2000,0.1,0.05,edge,893.7706510228273,454.7837276,12.835374458340837,"[96, 81, 71, 97, 54, 16, 41, 86, 73, 31, 70, 76, 89, 7, 27, 90, 2, 51, 60, 61, 19, 14, 18, 10, 15, 32, 64, 66, 57, 49, 99, 75, 30, 85, 48, 43, 38, 12, 55, 93, 36, 46, 37, 24, 40, 72, 56, 59, 20, 69, 87, 91, 3, 82, 9, 0, 98, 4, 44, 13, 6, 22, 62, 47, 29, 23, 77, 84, 33, 65, 11, 25, 42, 95, 92, 34, 39, 1, 79, 21, 74, 94, 53, 88, 67, 80, 45, 8, 5, 17, 78, 58, 52, 83, 28, 68, 50, 63, 35, 26]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,2000,0.1,0.1,edge,916.1976142530186,172.65312337875366,15.666699016991448,"[53, 88, 47, 62, 6, 22, 77, 13, 44, 33, 84, 11, 65, 4, 98, 59, 0, 20, 9, 82, 3, 91, 69, 87, 93, 55, 36, 12, 43, 38, 46, 61, 60, 37, 24, 40, 56, 72, 42, 25, 1, 39, 21, 74, 29, 23, 79, 34, 95, 92, 89, 17, 76, 70, 7, 51, 27, 31, 73, 32, 15, 10, 2, 90, 18, 14, 19, 85, 48, 30, 75, 99, 49, 57, 64, 66, 41, 16, 54, 97, 86, 58, 78, 94, 5, 8, 52, 83, 28, 71, 81, 96, 26, 35, 63, 68, 50, 80, 45, 67]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1000,0.1,0.1,edge,936.4112048587064,87.35467290878296,18.21859313270248,"[14, 18, 10, 2, 90, 15, 32, 73, 31, 27, 51, 7, 70, 76, 17, 89, 92, 95, 34, 79, 23, 29, 74, 21, 39, 1, 25, 42, 72, 56, 40, 24, 37, 60, 61, 46, 38, 43, 12, 36, 55, 93, 87, 69, 20, 91, 3, 82, 9, 0, 59, 98, 4, 65, 11, 84, 33, 44, 13, 77, 22, 6, 62, 47, 53, 88, 67, 45, 80, 50, 68, 63, 35, 81, 96, 26, 71, 28, 83, 52, 8, 5, 94, 78, 58, 86, 97, 54, 16, 41, 66, 64, 57, 49, 99, 75, 30, 48, 85, 19]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
