Population Size,Generations,Mutation Rate,Elitism Rate,Crossover Type,Final Distance,Solution Time,Gap to Optimal (%),Best Route
500,1000,0.1,0.05,erx,565.0611716255313,94.38661265,-6.04E-14,"[9, 20, 0, 4, 33, 44, 13, 6, 22, 23, 47, 29, 21, 39, 1, 34, 11, 25, 42, 40, 24, 37, 7, 27, 31, 17, 5, 8, 45, 28, 35, 26, 16, 41, 49, 32, 15, 10, 2, 18, 14, 19, 30, 48, 43, 38, 46, 36, 12, 3]"
500,500,0.1,0.05,erx,565.0611716255313,46.92583751678467,-6.04E-14,"[9, 20, 0, 4, 33, 44, 13, 6, 22, 23, 47, 29, 21, 39, 1, 34, 11, 25, 42, 40, 24, 37, 7, 27, 31, 17, 5, 8, 45, 28, 35, 26, 16, 41, 49, 32, 15, 10, 2, 18, 14, 19, 30, 48, 43, 38, 46, 36, 12, 3]"
500,500,0.1,0.1,edge,567.6892123947099,40.45314311981201,0.46508960465609006,"[42, 40, 24, 37, 7, 27, 31, 17, 5, 8, 45, 28, 35, 26, 16, 41, 49, 32, 15, 10, 2, 18, 14, 19, 30, 48, 43, 38, 46, 36, 12, 3, 9, 20, 0, 4, 11, 33, 44, 13, 6, 22, 23, 47, 29, 21, 39, 1, 34, 25]"
500,1000,0.1,0.1,edge,567.6892123947099,82.35970759391785,0.46508960465609006,"[42, 40, 24, 37, 7, 27, 31, 17, 5, 8, 45, 28, 35, 26, 16, 41, 49, 32, 15, 10, 2, 18, 14, 19, 30, 48, 43, 38, 46, 36, 12, 3, 9, 20, 0, 4, 11, 33, 44, 13, 6, 22, 23, 47, 29, 21, 39, 1, 34, 25]"
500,1000,0.1,0.1,erx,574.4178192793968,91.51877331733704,1.6558645547965254,"[2, 7, 27, 31, 41, 16, 26, 35, 28, 45, 8, 5, 17, 37, 24, 40, 42, 25, 11, 34, 1, 39, 21, 29, 47, 23, 22, 6, 13, 44, 33, 4, 0, 20, 9, 3, 12, 36, 46, 38, 43, 48, 19, 14, 18, 30, 49, 32, 15, 10]"
500,500,0.1,0.1,erx,574.4178192793968,43.24523854255676,1.6558645547965254,"[2, 7, 27, 31, 41, 16, 26, 35, 28, 45, 8, 5, 17, 37, 24, 40, 42, 25, 11, 34, 1, 39, 21, 29, 47, 23, 22, 6, 13, 44, 33, 4, 0, 20, 9, 3, 12, 36, 46, 38, 43, 48, 19, 14, 18, 30, 49, 32, 15, 10]"
500,500,0.05,0.1,edge,589.0956650029541,41.89812755584717,4.253432121035951,"[37, 24, 40, 42, 25, 34, 21, 39, 1, 11, 4, 33, 44, 13, 6, 22, 23, 47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 10, 15, 32, 49, 30, 18, 14, 19, 48, 43, 38, 12, 36, 3, 9, 20, 0, 46]"
500,1000,0.05,0.1,edge,589.0956650029541,77.94617056846619,4.253432121035951,"[37, 24, 40, 42, 25, 34, 21, 39, 1, 11, 4, 33, 44, 13, 6, 22, 23, 47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 10, 15, 32, 49, 30, 18, 14, 19, 48, 43, 38, 12, 36, 3, 9, 20, 0, 46]"
500,500,0.05,0.05,erx,592.2432483648681,45.703513860702515,4.810466212205101,"[47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 18, 19, 14, 10, 15, 32, 49, 30, 48, 43, 38, 46, 36, 12, 3, 9, 20, 0, 4, 40, 24, 37, 42, 25, 34, 21, 39, 1, 11, 33, 44, 13, 6, 22, 23]"
500,1000,0.05,0.05,erx,592.2432483648681,89.89044976234436,4.810466212205101,"[47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 18, 19, 14, 10, 15, 32, 49, 30, 48, 43, 38, 46, 36, 12, 3, 9, 20, 0, 4, 40, 24, 37, 42, 25, 34, 21, 39, 1, 11, 33, 44, 13, 6, 22, 23]"
500,1000,0.05,0.1,erx,593.944949,89.49016833305359,5.1116195527953865,"[37, 7, 27, 31, 41, 16, 26, 35, 28, 45, 8, 5, 17, 34, 1, 39, 21, 29, 47, 23, 22, 6, 13, 44, 33, 4, 11, 25, 42, 40, 0, 20, 9, 3, 36, 12, 38, 43, 48, 30, 19, 14, 18, 10, 49, 32, 15, 2, 46, 24]"
500,500,0.05,0.1,erx,593.944949,44.27812719345093,5.1116195527953865,"[37, 7, 27, 31, 41, 16, 26, 35, 28, 45, 8, 5, 17, 34, 1, 39, 21, 29, 47, 23, 22, 6, 13, 44, 33, 4, 11, 25, 42, 40, 0, 20, 9, 3, 36, 12, 38, 43, 48, 30, 19, 14, 18, 10, 49, 32, 15, 2, 46, 24]"
500,500,0.1,0.05,edge,600.2021322125917,43.50267934799194,6.218965724714152,"[0, 4, 11, 25, 42, 34, 39, 1, 33, 44, 13, 6, 22, 23, 21, 29, 47, 5, 17, 8, 45, 28, 35, 26, 16, 41, 15, 32, 49, 30, 48, 43, 38, 19, 14, 18, 10, 2, 31, 27, 7, 37, 24, 40, 46, 36, 12, 3, 9, 20]"
500,1000,0.1,0.05,edge,600.2021322125917,87.01704573631287,6.218965724714152,"[0, 4, 11, 25, 42, 34, 39, 1, 33, 44, 13, 6, 22, 23, 21, 29, 47, 5, 17, 8, 45, 28, 35, 26, 16, 41, 15, 32, 49, 30, 48, 43, 38, 19, 14, 18, 10, 2, 31, 27, 7, 37, 24, 40, 46, 36, 12, 3, 9, 20]"
200,500,0.1,0.1,erx,603.5715146443722,19.38784694671631,6.815252038652113,"[4, 0, 20, 9, 3, 40, 42, 25, 11, 34, 1, 39, 21, 29, 17, 31, 27, 7, 37, 24, 46, 36, 12, 38, 43, 48, 30, 49, 32, 15, 10, 14, 19, 18, 2, 41, 16, 26, 35, 28, 45, 8, 5, 47, 23, 22, 6, 13, 44, 33]"
200,1000,0.1,0.1,erx,603.5715146443722,35.359180212020874,6.815252038652113,"[4, 0, 20, 9, 3, 40, 42, 25, 11, 34, 1, 39, 21, 29, 17, 31, 27, 7, 37, 24, 46, 36, 12, 38, 43, 48, 30, 49, 32, 15, 10, 14, 19, 18, 2, 41, 16, 26, 35, 28, 45, 8, 5, 47, 23, 22, 6, 13, 44, 33]"
200,1000,0.1,0.05,edge,605.2181483465716,42.09404993057251,7.106660081689737,"[29, 21, 34, 17, 5, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 10, 15, 32, 49, 30, 18, 14, 19, 48, 43, 38, 12, 36, 3, 9, 20, 0, 46, 37, 24, 40, 42, 25, 39, 1, 11, 4, 33, 44, 13, 6, 22, 23, 47]"
200,500,0.05,0.05,edge,605.7082125063696,19.43030858039856,7.193387711264456,"[21, 23, 22, 6, 47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 2, 27, 7, 37, 24, 40, 46, 19, 14, 18, 10, 15, 32, 49, 30, 48, 43, 38, 12, 36, 3, 9, 20, 0, 4, 42, 25, 34, 11, 33, 44, 13, 1, 39]"
200,1000,0.05,0.05,edge,605.7082125063696,36.796730041503906,7.193387711264456,"[21, 23, 22, 6, 47, 29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 2, 27, 7, 37, 24, 40, 46, 19, 14, 18, 10, 15, 32, 49, 30, 48, 43, 38, 12, 36, 3, 9, 20, 0, 4, 42, 25, 34, 11, 33, 44, 13, 1, 39]"
500,500,0.05,0.05,edge,607.4005880025215,44.77651810646057,7.492890771,"[29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 37, 46, 19, 14, 18, 2, 10, 15, 32, 49, 30, 48, 43, 38, 12, 36, 3, 9, 20, 0, 4, 40, 24, 42, 25, 11, 33, 44, 13, 6, 22, 23, 47, 39, 1, 34, 21]"
500,1000,0.05,0.05,edge,607.4005880025215,82.84170174598694,7.492890771,"[29, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 37, 46, 19, 14, 18, 2, 10, 15, 32, 49, 30, 48, 43, 38, 12, 36, 3, 9, 20, 0, 4, 40, 24, 42, 25, 11, 33, 44, 13, 6, 22, 23, 47, 39, 1, 34, 21]"
200,1000,0.05,0.1,edge,613.5401074812739,33.68323874473572,8.579413750246049,"[25, 42, 0, 20, 9, 3, 36, 12, 38, 46, 40, 24, 37, 7, 17, 31, 27, 2, 15, 10, 18, 14, 19, 43, 48, 30, 49, 32, 41, 16, 26, 35, 28, 45, 8, 5, 29, 47, 23, 22, 6, 13, 44, 33, 4, 11, 1, 39, 21, 34]"
200,500,0.05,0.1,edge,613.5401074812739,16.50078845024109,8.579413750246049,"[25, 42, 0, 20, 9, 3, 36, 12, 38, 46, 40, 24, 37, 7, 17, 31, 27, 2, 15, 10, 18, 14, 19, 43, 48, 30, 49, 32, 41, 16, 26, 35, 28, 45, 8, 5, 29, 47, 23, 22, 6, 13, 44, 33, 4, 11, 1, 39, 21, 34]"
200,500,0.1,0.05,edge,615.2151041672026,19.742907524108887,8.875841246955863,"[29, 21, 34, 17, 5, 8, 45, 28, 35, 26, 16, 41, 31, 27, 7, 2, 10, 15, 32, 49, 30, 18, 14, 19, 48, 43, 38, 12, 36, 3, 9, 20, 0, 46, 37, 24, 40, 42, 25, 4, 11, 1, 39, 33, 44, 13, 6, 22, 23, 47]"
200,1000,0.1,0.05,erx,617.5371082300071,39.048245668411255,9.286770926679685,"[13, 6, 22, 23, 21, 39, 1, 34, 11, 25, 42, 40, 17, 5, 29, 47, 8, 45, 28, 35, 26, 16, 41, 15, 32, 49, 30, 19, 14, 18, 10, 2, 31, 27, 7, 37, 24, 46, 38, 48, 43, 12, 36, 3, 9, 20, 0, 4, 33, 44]"
200,500,0.1,0.05,erx,622.6305261053219,20.974184036254883,10.18816322,"[22, 23, 21, 39, 1, 34, 11, 25, 42, 40, 24, 37, 7, 27, 31, 2, 10, 18, 14, 19, 30, 49, 32, 15, 41, 16, 26, 35, 28, 45, 8, 47, 29, 5, 17, 46, 38, 48, 43, 12, 36, 3, 9, 20, 0, 4, 33, 44, 13, 6]"
200,1000,0.05,0.05,erx,635.8733075169839,39.370373010635376,12.531764603068456,"[47, 5, 17, 8, 45, 28, 35, 26, 16, 41, 31, 27, 2, 15, 32, 49, 10, 18, 14, 19, 30, 48, 43, 38, 46, 7, 37, 36, 12, 3, 9, 20, 0, 4, 40, 24, 42, 25, 11, 34, 39, 1, 33, 44, 13, 6, 22, 23, 21, 29]"
200,500,0.05,0.05,erx,635.8733075,18.631904125213623,12.531764603068476,"[37, 7, 46, 38, 43, 48, 30, 19, 14, 18, 10, 49, 32, 15, 2, 27, 31, 41, 16, 26, 35, 28, 45, 8, 17, 5, 47, 29, 21, 23, 22, 6, 13, 44, 33, 1, 39, 34, 11, 25, 42, 24, 40, 4, 0, 20, 9, 3, 12, 36]"
200,500,0.1,0.1,edge,658.3224545906343,17.731712341308594,16.50463483392684,"[33, 4, 11, 25, 42, 40, 24, 0, 20, 9, 3, 36, 12, 43, 38, 46, 37, 7, 27, 31, 2, 30, 48, 19, 14, 18, 10, 15, 32, 49, 41, 16, 26, 35, 28, 8, 17, 34, 1, 39, 21, 29, 5, 45, 47, 23, 22, 6, 13, 44]"
200,1000,0.1,0.1,edge,658.3224545906343,32.257155895233154,16.50463483392684,"[33, 4, 11, 25, 42, 40, 24, 0, 20, 9, 3, 36, 12, 43, 38, 46, 37, 7, 27, 31, 2, 30, 48, 19, 14, 18, 10, 15, 32, 49, 41, 16, 26, 35, 28, 8, 17, 34, 1, 39, 21, 29, 5, 45, 47, 23, 22, 6, 13, 44]"
200,1000,0.05,0.1,erx,668.5865199,40.280404806137085,18.321086895336364,"[49, 32, 15, 16, 41, 2, 10, 18, 14, 19, 37, 7, 27, 31, 17, 8, 45, 28, 35, 26, 5, 29, 47, 23, 22, 6, 13, 44, 33, 1, 39, 21, 34, 25, 11, 4, 42, 40, 24, 0, 20, 9, 3, 12, 36, 46, 38, 43, 48, 30]"
200,500,0.05,0.1,erx,668.5865199,19.57835841178894,18.321086895336364,"[49, 32, 15, 16, 41, 2, 10, 18, 14, 19, 37, 7, 27, 31, 17, 8, 45, 28, 35, 26, 5, 29, 47, 23, 22, 6, 13, 44, 33, 1, 39, 21, 34, 25, 11, 4, 42, 40, 24, 0, 20, 9, 3, 12, 36, 46, 38, 43, 48, 30]"
